,Current_Ranking,Player_Name,Team,Position,Games_Played,Minutes_per_Game,Points_per_Game,Field_Goals_Made_per_Game,Field_Goals_Attempted_per_Game,Field_Goals_Percentage_per_Game,3Pointers_Made_per_Game,3Pointers_Attempted_per_Game,3Pointers_Percentage_per_Game,Free_Throws_Made_per_Game,Free_Throws_Attempted_per_Game,Free_Throws_Percentage_per_Game,Rebounds_per_Game,Assists_per_Game,Steals_per_Game,Blocks_per_Game,Turnovers_per_Game,Total_Double_Doubles,Total_Triple_Doubles
231,232,Kendrick Nunn,LAL,G,20,13.0,5.2,2.0,5.8,34.5,0.8,3.0,27.1,0.4,0.5,88.9,1.3,1.2,0.1,0.1,1.2,0,0
232,233,Isaiah Joe,OKC,SG,17,8.2,5.2,1.7,3.5,49.2,1.4,2.9,46.0,0.4,0.5,77.8,1.3,0.9,0.4,0.1,0.4,0,0
233,234,Montrezl Harrell,PHI,C,20,12.0,5.2,1.7,3.2,53.1,0.0,0.0,0.0,1.8,2.4,74.5,3.0,0.5,0.2,0.4,0.7,0,0
234,235,Wenyen Gabriel,LAL,F,20,13.6,5.1,2.0,3.4,59.7,0.2,0.7,30.8,0.9,1.1,81.8,3.7,0.7,0.6,0.5,0.7,0,0
235,236,Garrison Mathews,HOU,SG,21,13.6,5.1,1.3,3.6,37.3,1.3,3.4,37.5,1.1,1.2,92.3,1.1,0.4,0.6,0.0,0.3,0,0
236,237,Kevin Knox II,DET,SF,19,13.5,5.1,1.9,4.2,45.6,0.9,2.6,34.0,0.4,0.6,63.6,2.3,0.4,0.3,0.4,0.5,0,0
237,238,George Hill,MIL,PG,23,20.3,5.0,1.7,4.0,41.8,0.6,2.0,28.9,1.1,1.7,68.4,1.9,2.5,0.4,0.1,0.8,0,0
238,238,Moses Moody,GS,SG,20,14.6,5.0,1.6,3.9,41.6,0.9,2.5,36.0,0.9,1.1,81.8,1.8,0.6,0.4,0.3,1.0,0,0
239,240,Danuel House Jr.,PHI,SF,22,18.4,4.9,1.6,3.4,48.0,0.7,2.0,34.9,1.0,1.3,75.0,2.0,0.8,0.3,0.2,0.6,0,0
240,241,Isaiah Roby,SA,PF,19,13.4,4.8,1.9,4.3,44.4,0.6,1.8,34.3,0.4,0.9,44.4,2.8,1.4,0.5,0.3,0.6,0,0
241,242,Derrick Jones Jr.,CHI,SF,18,12.8,4.8,1.5,3.4,44.3,0.2,1.0,22.2,1.6,1.8,84.8,2.3,0.4,0.4,0.7,0.4,0,0
242,243,Jalen Johnson,ATL,SF,22,14.9,4.7,2.0,4.2,47.3,0.3,1.4,20.0,0.5,0.7,66.7,3.5,1.0,0.6,0.3,0.5,1,0
243,244,Reggie Bullock,DAL,SF,23,26.9,4.7,1.5,5.1,29.7,1.2,4.3,27.6,0.4,0.7,66.7,3.0,0.9,0.8,0.1,0.4,0,0
244,245,Luke Kornet,BOS,C,20,13.1,4.7,1.9,2.8,67.9,0.1,0.3,33.3,0.8,0.8,93.8,3.6,0.8,0.2,1.0,0.6,0,0
245,246,Nicolas Batum,LAC,PF,25,18.7,4.6,1.6,3.8,41.5,1.1,2.8,38.0,0.4,0.8,57.9,4.0,1.3,0.6,0.8,0.7,0,0
246,247,Aaron Holiday,ATL,G,21,17.1,4.6,1.7,4.0,42.4,0.7,1.4,46.7,0.5,0.6,76.9,1.4,1.4,0.6,0.1,0.8,0,0
247,248,Patty Mills,BKN,PG,20,11.0,4.6,1.5,3.6,42.3,1.1,2.8,38.2,0.5,0.5,100.0,0.8,1.1,0.2,0.1,0.4,0,0
248,249,Zeke Nnaji,DEN,PF,18,10.1,4.3,1.8,3.1,58.9,0.2,0.8,21.4,0.4,0.6,80.0,1.4,0.2,0.2,0.2,0.5,0,0
249,250,Patrick Beverley,LAL,PG,18,26.4,4.2,1.3,4.7,27.1,0.7,3.3,22.0,0.9,1.2,81.0,3.8,2.5,0.8,0.5,0.8,0,0
250,251,Caleb Houstan,ORL,F,20,19.0,4.2,1.4,3.9,35.9,1.0,2.8,35.7,0.4,0.5,80.0,2.7,0.8,0.2,0.1,0.3,0,0
251,252,Isaac Okoro,CLE,SF,25,18.8,4.2,1.4,3.6,40.0,0.4,1.6,22.0,0.9,1.1,82.1,2.0,0.6,0.6,0.2,0.7,0,0
252,253,Christian Koloko,TOR,F,24,17.0,4.1,1.5,3.3,46.2,0.0,0.3,0.0,1.1,1.7,65.9,3.7,0.5,0.2,1.2,0.6,0,0
253,254,Amir Coffey,LAC,SG,21,14.9,4.0,1.2,3.1,37.9,0.2,0.9,22.2,1.4,1.8,81.1,1.1,1.3,0.2,0.1,0.5,0,0
254,255,Usman Garuba,HOU,PF,22,15.4,3.9,1.5,2.5,57.1,0.3,0.5,63.6,0.6,1.1,58.3,4.9,1.0,0.9,0.7,0.9,0,0
255,256,P.J. Tucker,PHI,PF,24,28.6,3.5,1.3,3.0,45.1,0.6,1.6,39.5,0.2,0.3,66.7,4.3,1.0,0.6,0.3,1.0,0,0
256,257,Paul Reed,PHI,SF,21,12.2,3.4,1.5,2.6,58.2,0.0,0.1,0.0,0.4,0.6,66.7,4.0,0.6,1.0,0.8,0.8,2,0
257,258,Robin Lopez,CLE,C,18,9.6,3.4,1.4,2.2,65.0,0.0,0.0,0.0,0.5,0.7,75.0,1.4,0.4,0.1,0.1,0.7,0,0
258,259,Daishen Nix,HOU,SG,22,15.0,3.3,1.1,3.2,34.3,0.7,2.1,34.8,0.4,0.6,69.2,1.7,2.5,0.7,0.1,1.4,0,0
259,260,Anthony Gill,WSH,PF,20,12.0,3.3,1.3,2.4,54.2,0.1,0.7,15.4,0.6,0.7,84.6,1.7,0.6,0.2,0.3,0.2,0,0
260,261,Bismack Biyombo,PHX,C,20,12.2,3.2,1.4,2.6,53.8,0.0,0.0,0.0,0.4,1.0,40.0,3.4,0.8,0.3,1.4,1.1,1,0
261,262,Wesley Matthews,MIL,SG,18,15.5,3.2,1.0,3.3,30.5,0.8,2.6,29.8,0.4,0.4,87.5,1.9,0.6,0.5,0.2,0.3,0,0
262,263,Christian Braun,DEN,G,22,12.9,3.0,1.1,2.8,41.0,0.4,1.0,36.4,0.3,0.6,53.8,2.0,0.7,0.4,0.1,0.3,0,0
263,264,Josh Christopher,HOU,SG,17,7.2,2.9,1.2,2.8,43.8,0.2,0.8,21.4,0.3,0.4,83.3,1.1,0.6,0.3,0.1,0.7,0,0
264,265,Davon Reed,DEN,SG,18,11.1,2.8,0.9,2.9,30.2,0.6,1.7,36.7,0.4,0.6,80.0,1.6,0.5,0.3,0.1,0.7,0,0
265,266,Josh Okogie,PHX,SF,20,8.3,2.4,0.9,2.6,33.3,0.2,1.2,13.0,0.5,0.8,62.5,2.0,0.8,0.6,0.3,0.5,0,0
266,267,Matisse Thybulle,PHI,SG,20,11.4,1.5,0.6,2.0,30.8,0.3,1.2,21.7,0.1,0.2,33.3,1.2,0.4,0.8,0.3,0.2,0,0
